,
Symbol,Company
ADRO.JK,Adaro Energy
AMMN.JK,Amman Mineral Internasional
AALI.JK,Astra Agro Lestari
ASII.JK,Astra International
AVIA.JK,Avia Avian
BBCA.JK,Bank Central Asia
BDMN.JK,Bank Danamon Indonesia
BMRI.JK,Bank Mandiri
BBNI.JK,Bank Negara Indonesia
BBRI.JK,Bank Rakyat Indonesia
BRIS.JK,Bank Syariah Indonesia
BRPT.JK,Barito Pacific
BSDE.JK,Bumi Serpong Damai
CPIN.JK,Charoen Pokphand Indonesia
MTEL.JK,Dayamitra Telekomunikasi
EMTK.JK,Elang Mahkota Teknologi
GOTO.JK,GoTo Gojek Indonesia
GGRM.JK,Gudang Garam
INKP.JK,Indah Kiat Pulp & Paper
INTP.JK,Indocement Tunggal Prakarsa
INDF.JK,Indofood Sukses Makmur
ISAT.JK,Indosat
JSMR.JK,Jasa Marga
KLBF.JK,Kalbe Farma
MYOR.JK,Mayora Indah
MDKA.JK,Merdeka Copper Gold
PGAS.JK,Perusahaan Gas Negara
CUAN.JK,Petrindo Jaya Kreasi
HMSP.JK,Hanjaya Mandala Sampoerna
ICBP.JK,Indofood CBP Sukses Makmur
TOWR.JK,Sarana Menara Nusantara
SMGR.JK,Semen Gresik
FREN.JK,Smartfren Telecom
AMRT.JK,Sumber Alfaria Trijaya
PTBA.JK,Tambang Batubara Bukit Asam
TLKM.JK,Telekomunikasi Indonesia
TBIG.JK,Tower Bersama Infrastructure
NCKL.JK,Trimegah Bangun Persada
UNVR.JK,Unilever Indonesia
UNTR.JK,United Tractors
INCO.JK,Vale Indonesia
EXCL.JK,XL Axiata